"tier","section","item_id","name","min_quantity","max_quantity","weight","ge_price"
"beginner","Beginner clue uniques","23285","Mole slippers","1","1","0.0027777777777777779","140288"
"beginner","Beginner clue uniques","23288","Frog slippers","1","1","0.0027777777777777779","20620"
"beginner","Beginner clue uniques","23291","Bear feet","1","1","0.0027777777777777779","16161"
"beginner","Beginner clue uniques","23294","Demon feet","1","1","0.0027777777777777779","50778"
"beginner","Beginner clue uniques","23297","Jester cape","1","1","0.0027777777777777779","17846"
"beginner","Beginner clue uniques","23300","Shoulder parrot","1","1","0.0027777777777777779","61662"
"beginner","Beginner clue uniques","23303","Monk's robe top (t)","1","1","0.0027777777777777779","32718"
"beginner","Beginner clue uniques","23306","Monk's robe (t)","1","1","0.0027777777777777779","8728"
"beginner","Beginner clue uniques","23309","Amulet of defence (t)","1","1","0.0027777777777777779","2593"
"beginner","Beginner clue uniques","23312","Sandwich lady hat","1","1","0.0027777777777777779","6997"
"beginner","Beginner clue uniques","23315","Sandwich lady top","1","1","0.0027777777777777779","6544"
"beginner","Beginner clue uniques","23318","Sandwich lady bottom","1","1","0.0027777777777777779","2810"
"beginner","Beginner clue uniques","23321","Rune scimitar ornament kit (Guthix)","1","1","0.0027777777777777779","3584"
"beginner","Beginner clue uniques","23324","Rune scimitar ornament kit (Saradomin)","1","1","0.0027777777777777779","3746"
"beginner","Beginner clue uniques","23327","Rune scimitar ornament kit (Zamorak)","1","1","0.0027777777777777779","6093"
"beginner","Black items table","1313","Black 2h sword","1","1","0.0012420957542908762","967"
"beginner","Black items table","1361","Black axe","1","1","0.0012420957542908762","977"
"beginner","Black items table","1367","Black battleaxe","1","1","0.0012420957542908762","543"
"beginner","Black items table","1107","Black chainbody","1","1","0.0012420957542908762","2775"
"beginner","Black items table","1217","Black dagger","1","1","0.0012420957542908762","336"
"beginner","Black items table","1165","Black full helm","1","1","0.0012420957542908762","425"
"beginner","Black items table","1195","Black kiteshield","1","1","0.0012420957542908762","1102"
"beginner","Black items table","1297","Black longsword","1","1","0.0012420957542908762","708"
"beginner","Black items table","1426","Black mace","1","1","0.0012420957542908762","802"
"beginner","Black items table","1151","Black med helm","1","1","0.0012420957542908762","784"
"beginner","Black items table","12297","Black pickaxe","1","1","0.0012420957542908762","1951"
"beginner","Black items table","1125","Black platebody","1","1","0.0012420957542908762","2498"
"beginner","Black items table","1089","Black plateskirt","1","1","0.0012420957542908762","1964"
"beginner","Black items table","1077","Black platelegs","1","1","0.0012420957542908762","1337"
"beginner","Black items table","1179","Black sq shield","1","1","0.0012420957542908762","453"
"beginner","Black items table","1327","Black scimitar","1","1","0.0012420957542908762","1541"
"beginner","Black items table","1283","Black sword","1","1","0.0012420957542908762","959"
"beginner","Black items table","1341","Black warhammer","1","1","0.0012420957542908762","631"
"beginner","Weapons and armour","841","Shortbow","1","1","0.022357723577235773","79"
"beginner","Weapons and armour","839","Longbow","1","1","0.022357723577235773","20"
"beginner","Weapons and armour","843","Oak shortbow","1","1","0.022357723577235773","44"
"beginner","Weapons and armour","845","Oak longbow","1","1","0.022357723577235773","49"
"beginner","Weapons and armour","1267","Iron pickaxe","1","1","0.022357723577235773","54"
"beginner","Weapons and armour","1381","Staff of air","1","1","0.022357723577235773","1507"
"beginner","Weapons and armour","1383","Staff of water","1","1","0.022357723577235773","788"
"beginner","Weapons and armour","1385","Staff of earth","1","1","0.022357723577235773","718"
"beginner","Weapons and armour","1387","Staff of fire","1","1","0.022357723577235773","969"
"beginner","Weapons and armour","1157","Steel full helm","1","1","0.022357723577235773","169"
"beginner","Weapons and armour","1119","Steel platebody","1","1","0.022357723577235773","917"
"beginner","Weapons and armour","1069","Steel platelegs","1","1","0.022357723577235773","390"
"beginner","Weapons and armour","1083","Steel plateskirt","1","1","0.022357723577235773","361"
"beginner","Weapons and armour","1295","Steel longsword","1","1","0.022357723577235773","117"
"beginner","Weapons and armour","1207","Steel dagger","1","1","0.022357723577235773","122"
"beginner","Weapons and armour","1353","Steel axe","1","1","0.022357723577235773","184"
"beginner","Weapons and armour","1365","Steel battleaxe","1","1","0.022357723577235773","165"
"beginner","Weapons and armour","1167","Leather cowl","1","1","0.022357723577235773","48"
"beginner","Weapons and armour","1129","Leather body","1","1","0.022357723577235773","18"
"beginner","Weapons and armour","1095","Leather chaps","1","1","0.022357723577235773","5"
"beginner","Weapons and armour","1063","Leather vambraces","1","1","0.022357723577235773","10"
"beginner","Weapons and armour","1131","Hardleather body","1","1","0.022357723577235773","10"
"beginner","Weapons and armour","579","Blue wizard hat","1","1","0.022357723577235773","271"
"beginner","Weapons and armour","577","Blue wizard robe","1","1","0.022357723577235773","1150"
"beginner","Weapons and armour","1017","Wizard hat","1","1","0.022357723577235773","332"
"beginner","Weapons and armour","581","Black robe","1","1","0.022357723577235773","704"
"beginner","Runes and ammunition","556","Air rune","15","35","0.022357723577235773","5"
"beginner","Runes and ammunition","558","Mind rune","15","35","0.022357723577235773","3"
"beginner","Runes and ammunition","555","Water rune","15","35","0.022357723577235773","5"
"beginner","Runes and ammunition","557","Earth rune","15","35","0.022357723577235773","5"
"beginner","Runes and ammunition","554","Fire rune","15","35","0.022357723577235773","5"
"beginner","Runes and ammunition","559","Body rune","15","35","0.022357723577235773","5"
"beginner","Runes and ammunition","562","Chaos rune","2","7","0.022357723577235773","105"
"beginner","Runes and ammunition","561","Nature rune","2","7","0.022357723577235773","157"
"beginner","Runes and ammunition","563","Law rune","2","7","0.022357723577235773","125"
"beginner","Runes and ammunition","882","Bronze arrow","15","30","0.022357723577235773","5"
"beginner","Runes and ammunition","884","Iron arrow","7","15","0.022357723577235773","5"
"beginner","Food","1965","Cabbage","5","9","0.041666666666666664","26"
"beginner","Food","315","Shrimps","5","14","0.022357723577235773","20"
"beginner","Food","325","Sardine","5","12","0.022357723577235773","14"
"beginner","Food","347","Herring","5","9","0.022357723577235773","14"
"easy","Easy clue uniques","10280","Willow comp bow","1","1","0.0027777777777777779","4290"
"easy","Easy clue uniques","10366","Amulet of magic (t)","1","1","0.0027777777777777779","12271"
"easy","Easy clue uniques","20211","Team cape zero","1","1","0.00017806267806267807","2594306"
"easy","Easy clue uniques","20217","Team cape i","1","1","0.00017806267806267807","1120814"
"easy","Easy clue uniques","20214","Team cape x","1","1","0.00017806267806267807","1259209"
"easy","Easy clue uniques","23351","Cape of skulls","1","1","0.00017806267806267807","3312351"
"easy","Easy clue uniques","20205","Golden chef's hat","1","1","0.00035612535612535614","327321"
"easy","Easy clue uniques","20208","Golden apron","1","1","0.00035612535612535614","145446"
"easy","Easy clue uniques","20166","Wooden shield (g)","1","1","0.00071225071225071229","75330"
"easy","Easy clue uniques","2587","Black full helm (t)","1","1","0.00071225071225071229","20610"
"easy","Easy clue uniques","2583","Black platebody (t)","1","1","0.00071225071225071229","13278"
"easy","Easy clue uniques","2585","Black platelegs (t)","1","1","0.00071225071225071229","9741"
"easy","Easy clue uniques","3472","Black plateskirt (t)","1","1","0.00071225071225071229","1438"
"easy","Easy clue uniques","2589","Black kiteshield (t)","1","1","0.00071225071225071229","7635"
"easy","Easy clue uniques","2595","Black full helm (g)","1","1","0.00071225071225071229","82801"
"easy","Easy clue uniques","2591","Black platebody (g)","1","1","0.00071225071225071229","110211"
"easy","Easy clue uniques","2593","Black platelegs (g)","1","1","0.00071225071225071229","22281"
"easy","Easy clue uniques","3473","Black plateskirt (g)","1","1","0.00071225071225071229","6567"
